song,chart,label,note
235U,4,115,
OVER THE RAINBOW!!!,4,115,
MAD ACCELERATOR DESTRUCTION,4,115,封印済み譜面。旧 学習用songs\official から戻す
新空界＜シン・スカイ＞ -漆黒の空と最後の灯-,4,115,
De-Forestation,4,110,
トリノユメ,4,110,
Bluish,4,110,
"Rainbow Wind, Rainbow Mind",4,110,
first wind,4,110,
cyanide,4,110,
grow away -Uplifting Mix-,4,110,
グラデーション・ワールド,4,105,
デイブレイク・トレイン,4,105,
Orbital Path,4,105,
Sustainable,4,105,
What Color Is The Sky？,4,105,
PSYCHOSIS ~Awakening Sky~,4,105,
Acid Rain,4,100,
235U,3,100,
lost sky,4,100,
Future Shock!!,4,100,
Angelic Sky,4,95,
Quantum Entanglement,2,70,
